shipment_provider_name
Bamilo Dropshipping
Bamilo Transportation System
BREline
Chaapaar
DHL
Digital Shipment
PDE
PedEx
Pishtaz
Post
PostExpress
Sent by Seller
Shahrestan Orders
skynet_intl
Tehran Orders
Tipax
TPG
Tpx
