item_status
shipped
closed
returned
canceled
invalid
returned_qcfailed
delivered
sourcing
item_received
picked
packed
picklisted
refund_pending
refund_completed
refund_reject
crossdocking_po_ordered
finance_failed
finance_verified
being_returned
order_verification_in_progress
handled_by_marketplace
awaiting_digital_content
awaiting_fulfillment
replacement_pending
replaced
pickup_return_pending
ready_for_pickup
ready_to_ship_by_marketplace
ready_for_refund
